Load (N),Strain (%)
-3.488827497,-0.000230714
-2.288538963,0.002329259
-3.327429295,0.022212706
-3.28393653,0.042817107
-3.173481673,0.063253871
-3.145914525,0.085435118
-3.06610018,0.10489439
-1.847743988,0.124194913
-3.32929194,0.143662916
-5.144160241,0.16345921
-2.96831131,0.184071469
-2.510938793,0.204587766
-3.503449261,0.227465917
-4.179868847,0.24701504
-2.880115062,0.266569958
-4.158727825,0.287188091
-2.105999738,0.307004546
-1.823715866,0.326252047
-3.721285611,0.349577631
-3.223866224,0.367613646
-3.083236516,0.387936745
-2.220738679,0.408953972
-3.404356539,0.427063804
-2.697948366,0.448124766
-3.408268094,0.470045904
-4.494842142,0.491510721
-2.294871956,0.508880152
-2.445001155,0.531388658
-3.343820572,0.55031787
-3.088731319,0.569658398
-4.514865577,0.588857719
-3.367289901,0.609665795
-2.35857442,0.633179653
-2.428423613,0.651175187
-3.211572766,0.67216503
-2.276152372,0.693206306
-2.811010927,0.712343478
-2.547819167,0.731060522
-3.707874566,0.752696866
-3.246683627,0.774396233
-3.210827708,0.792620047
-3.603473306,0.81499338
-2.683885396,0.833402294
-2.575851977,0.855257155
-4.913285375,0.873863631
-3.213062882,0.893489985
-0.764802098,0.914478081
-1.457054168,0.933553103
-2.81482935,0.955601795
-3.340281546,0.976113012
-3.573857248,0.994222051
-3.452785313,1.016475052
-3.118347377,1.038790918
-3.726501018,1.055532341
-4.590768367,1.077179083
-3.435369581,1.096046065
-1.102034003,1.117589542
-2.637598664,1.137647929
-4.384852946,1.155880474
-2.52854079,1.177736684
-2.444628626,1.199351359
-1.618172973,1.21699725
-2.446677536,1.239336531
-3.115087748,1.259840604
-3.181770444,1.278918404
-3.370177001,1.297989615
-2.508703619,1.31853274
-2.286024392,1.340408794
-4.175398499,1.360393601
-3.068242222,1.3799509
-3.5578385,1.399674567
-1.46497041,1.421117317
-2.105627209,1.440059943
-2.86474824,1.462206345
-4.441011697,1.481206834
-3.474671394,1.500335195
-1.296587288,1.522515728
-2.252776176,1.542554827
-3.732461482,1.562507885
-3.5376288,1.581327243
-3.35527584,1.60214659
-2.783350646,1.623656094
-3.951042891,1.642891292
-3.512576222,1.661814233
-3.314390779,1.683572893
-3.083143383,1.703930758
-2.304837108,1.72186573
-2.745632082,1.744696495
-3.845151514,1.765020389
-4.71835956,1.78319134
-3.45222652,1.805464661
-1.935102046,1.823797058
-2.042856067,1.846325329
-5.38919121,1.864591291
-3.999657929,1.88290321
-2.447329462,1.906334996
-3.073178232,1.925775535
-2.182461321,1.945283701
-3.103446215,1.966843449
-4.462711513,1.98664895
-3.335252404,2.005286303
-1.612398773,2.02742826
-2.706050873,2.046312467
-3.077276051,2.068239637
-3.903359175,2.087015657
-3.978144377,2.105710794
-2.051331103,2.127089014
-3.4221448,2.149357572
-2.736411989,2.16714594
-4.680734128,2.188892138
-3.532227129,2.208461422
-2.406630665,2.227575892
-1.828558743,2.248993958
-3.204587847,2.270537355
-4.790257663,2.289945748
-3.19769606,2.310111449
-2.211332321,2.327960299
-3.812089562,2.349132305
-4.58676368,2.37081921
-5.176477134,2.389991465
-3.475882113,2.412019441
-3.220885992,2.431399497
-2.76658684,2.450569371
-4.075467587,2.471099716
-3.807339817,2.492746459
-3.886036575,2.511824179
-3.027915955,2.531421879
-3.016553819,2.550991639
-3.038905561,2.571454199
-2.83177942,2.593649258
-3.079324961,2.612013881
-1.47819519,2.632198394
-4.78643924,2.653324839
-4.719570279,2.672912617
-4.660990089,2.692434911
-2.560392022,2.71471109
-2.685002983,2.735391135
-3.71793285,2.753263481
-4.15565446,2.77310089
-3.452785313,2.792899804
-2.571009099,2.815025013
-3.578234464,2.834767253
-2.690032125,2.853943397
-4.600919783,2.874682417
-4.11272049,2.894801049
-3.663543612,2.915759301
-2.944655716,2.937202051
-1.949910074,2.956143724
-4.509463906,2.974395716
-2.4612993,2.997880762
-2.179201692,3.017021823
-2.502743155,3.037027585
-2.474524081,3.055672955
-2.809986472,3.07625537
-2.199225128,3.096957163
-3.322586417,3.114482565
-2.120435238,3.138590618
-4.041474313,3.158228798
-4.053860903,3.176340933
-3.707781434,3.198785305
-2.156756818,3.218569614
-2.263300121,3.237698292
-4.282966256,3.258853391
-3.895442933,3.275981605
-4.23239544,3.298169519
